lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,lap14,False,66.82,56.94,99.86,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res16,False,57.27,49.54,99.87,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res14,False,57.36,51.47,99.91,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,lap14,False,65.59,59.19,99.96,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res16,False,58.77,50.07,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res14,False,57.76,51.8,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,lap14,False,66.45,58.79,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,-,res16,False,63.01,53.33,99.99,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,True,res14,False,57.04,51.92,99.95,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,77,500,3000,True,res14,False,59.44,54.82,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,58.79,51.33,99.98,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,lap14,False,69.8,60.42,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,54.69,47.37,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,57.23,53.82,99.99,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,lap14,False,67.13,59.93,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,54.04,49.05,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,61.5,54.98,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,lap14,False,66.92,60.57,100.0,3000
5e-05,bert,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,50.94,45.53,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,62.49,56.48,99.99,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,lap14,False,70.3,63.16,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res16,False,65.2,54.04,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,lap14,False,60.57,55.92,100.0,3000
5e-05,bert,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res16,False,60.31,54.45,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,67.99,59.68,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,lap14,False,65.51,56.63,100.0,3000
5e-05,bert,lstm,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res16,False,61.14,48.25,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,64.43,58.88,100.0,3000
5e-05,bert,san,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,lap14,False,63.96,57.84,100.0,3000
